Time,PM10,Biossido di Azoto,Biossido Zolfo,Ozono,PM2.5
2020-01-01 01:00:00,71.0,48.0,5.0,4.0,59.0
2020-01-01 02:00:00,52.0,49.0,4.0,4.0,42.0
2020-01-01 03:00:00,51.0,52.0,5.0,4.0,43.0
2020-01-01 04:00:00,41.0,48.0,4.0,3.0,33.0
2020-01-01 05:00:00,35.0,48.0,3.0,3.0,27.0
2020-01-01 06:00:00,33.0,50.0,3.0,3.0,26.0
2020-01-01 07:00:00,27.0,47.0,3.0,3.0,22.0
2020-01-01 08:00:00,26.0,48.0,3.0,3.0,21.0
2020-01-01 09:00:00,26.0,49.0,3.0,4.0,21.0
2020-01-01 10:00:00,26.0,45.0,3.0,7.0,22.0
2020-01-01 11:00:00,25.0,37.0,3.0,14.0,21.0
2020-01-01 12:00:00,22.0,33.0,4.0,22.0,18.0
2020-01-01 13:00:00,20.0,33.0,5.0,25.0,16.0
2020-01-01 14:00:00,18.0,31.0,4.0,29.0,14.0
2020-01-01 15:00:00,16.0,38.0,4.0,25.0,13.0
2020-01-01 16:00:00,15.0,49.0,3.0,15.0,14.0
2020-01-01 17:00:00,19.0,68.0,5.0,4.0,19.0
2020-01-01 18:00:00,23.0,65.0,4.0,4.0,22.0
2020-01-01 19:00:00,24.0,67.0,4.0,4.0,23.0
2020-01-01 20:00:00,28.0,69.0,5.0,4.0,26.0
2020-01-01 21:00:00,27.0,63.0,4.0,4.0,25.0
2020-01-01 22:00:00,29.0,67.0,5.0,4.0,27.0
2020-01-01 23:00:00,34.0,63.0,5.0,5.0,28.0
2020-01-02 00:00:00,28.0,53.0,3.0,4.0,23.0
2020-01-02 01:00:00,29.0,49.0,3.0,4.0,23.0
2020-01-02 02:00:00,30.0,48.0,3.0,4.0,25.0
2020-01-02 03:00:00,25.0,46.0,3.0,3.0,22.0
2020-01-02 04:00:00,22.0,45.0,2.0,3.0,20.0
2020-01-02 05:00:00,20.0,43.0,2.0,3.0,17.0
2020-01-02 06:00:00,21.0,49.0,4.0,3.0,17.0
2020-01-02 07:00:00,19.0,54.0,4.0,3.0,15.0
2020-01-02 08:00:00,18.0,60.0,6.0,3.0,15.0
2020-01-02 09:00:00,21.0,66.0,7.0,4.0,16.0
2020-01-02 10:00:00,22.0,,8.0,,17.0
2020-01-02 12:00:00,17.0,47.0,,13.0,15.0
2020-01-02 13:00:00,16.0,41.0,3.0,19.0,13.0
2020-01-02 14:00:00,14.0,38.0,3.0,23.0,11.0
